Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
Allegheny Energy Units 12 & 13 CT UN13,144481.3228073462,106243.59013478932,125996.43267573338,95942.91640842635,102416.81231650765,192995.482715092,261422.51100244178,256045.86504218602,201895.09360131546,169757.2748713461,147103.25824175932,164894.62337612116,185425.9576437343,147035.40909383717,160813.68220743226,107436.5028350934,115955.98748605605,203213.31856309186,277253.30915659206,259700.947406831,201489.16192131516,166893.35547908812,137505.21167375895,147862.8449040345
"Allegheny Energy Units 3, 4, 5 CC UNT3",1249337.0738389718,1080636.3419991694,1176679.0541109678,1102422.862652612,1221844.478063737,1384119.1238988372,1917673.7480019792,1888454.608280769,1433686.511973502,1266606.1909878624,1232338.5252677265,1474093.105089286,1617991.7560519592,1437714.649298408,1500245.0314817957,1213753.0760223886,1323572.8959213716,1615147.5206703965,2020959.8148127326,1913047.804872509,1430021.9974134997,1225494.1117681658,1118260.023763722,1334279.205649546
"Allegheny Energy Units 3, 4, 5 CC UNT4",1249337.0738389718,1080636.3419991694,1176679.0541109678,1102422.862652612,1221844.478063737,1384119.1238988372,1917673.7480019792,1888454.608280769,1433686.511973502,1266606.1909878624,1232338.5252677265,1474093.105089286,1617991.7560519592,1437714.649298408,1500245.0314817957,1213753.0760223886,1323572.8959213716,1615147.5206703965,2020959.8148127326,1913047.804872509,1430021.9974134997,1225494.1117681658,1118260.023763722,1334279.205649546
"Allegheny Energy Units 3, 4, 5 CC UNT5",1235757.3230363743,1068890.2948035265,1163889.0643923704,1090440.0054498664,1208563.5598239142,1369074.3508129804,1896829.4681323918,1867927.9277559782,1418102.9629303117,1252838.7323901686,1218943.5412974248,1458070.3539470113,1600404.8891383512,1422087.3161538607,1483938.0202700372,1200560.1078047538,1309186.2340091825,1597591.5693587614,1998992.8603038986,1892253.8069934605,1414478.2800503098,1212173.5235967732,1106105.0235054204,1319776.1708055292
"Allegheny Energy Units 8, 9 CT UNT8",137529.85854430802,99963.94229462763,119104.58010331864,89532.64908916893,93032.50265940477,184874.30897272384,250020.26333936048,244716.28557721226,195506.90267094722,165687.6113237915,141451.16233894663,154511.0036852116,175485.61300908303,137146.13584967548,151289.69482615736,99446.77124116942,105522.43520701764,194688.89795227902,265243.8789917902,248279.0060912763,195122.00788472447,163110.74994843677,132334.52885450187,138231.84819377042
"Allegheny Energy Units 8, 9 CT UNT9",140597.17479488847,102739.47508605625,122153.93144297448,92289.36805539117,97194.52801785624,188521.32636383476,255192.2192193173,249875.61530327657,198336.17427850256,167410.39796469468,143938.23408605767,159171.70261028677,179962.99006921213,141528.11478015152,155511.46037983464,102937.630676725,110180.67577734013,198521.3553673901,270700.0338500267,253466.96388082462,197941.81285805788,164720.34936985615,134579.21646205737,142564.34530706058
Allen S King ST 1,951467.2288239957,412411.3617144888,123642.12546149362,143438.333660234,476232.89712645113,638338.0372708929,1681721.576617118,1485921.0894719865,490804.1755221151,479920.68634414766,915972.0652942182,903916.4908648566,1406667.1610461492,809967.4698099918,957110.985324367,1018695.7755675656,1060525.9860132923,1019748.9858577731,2183300.9494559113,1735913.3276544083,820164.7792543247,651781.006493222,681710.1768330089,340321.9227133116
Alpaca IC 1,5785.49135980207,340.752757870845,1554.4977751138758,-995.0246531202465,-2334.7279368001273,8980.149897324187,16048.430309909503,16021.994612361208,8476.78084932414,6810.996794812754,4664.863531768644,13739.06924440406,8544.804390640811,6602.082950013666,3696.7415865547173,-587.1062908980275,-1776.9246255743092,9806.358578657579,17536.207081608438,16355.013224920427,8449.362369101935,6637.322471845009,4025.2611757686245,-2207.401037746351
Alpaca IC 2,5785.49135980207,340.752757870845,1554.4977751138758,-995.0246531202465,-2334.7279368001273,8980.149897324187,16048.430309909503,16021.994612361208,8476.78084932414,6810.996794812754,4664.863531768644,13739.06924440406,8544.804390640811,6602.082950013666,3696.7415865547173,-587.1062908980275,-1776.9246255743092,9806.358578657579,17536.207081608438,16355.013224920427,8449.362369101935,6637.322471845009,4025.2611757686245,-2207.401037746351
Alpaca IC 3,5785.49135980207,340.752757870845,1554.4977751138758,-995.0246531202465,-2334.7279368001273,8980.149897324187,16048.430309909503,16021.994612361208,8476.78084932414,6810.996794812754,4664.863531768644,13739.06924440406,8544.804390640811,6602.082950013666,3696.7415865547173,-587.1062908980275,-1776.9246255743092,9806.358578657579,17536.207081608438,16355.013224920427,8449.362369101935,6637.322471845009,4025.2611757686245,-2207.401037746351
Alpine CT AI1,865809.3735320951,301765.20052954945,353864.4329045686,401283.182152999,204897.2068731716,480979.71895077464,723786.8742628458,831434.8213148928,465978.2741041106,476573.5062069343,584863.0538907764,766038.3154645686,919768.3273579032,332863.5472647872,386942.367734245,462045.1052552222,254707.39117037592,522822.57057521923,794257.461390591,864926.8035394081,492233.15198411024,488118.53312822414,566964.3826729989,189363.11338628884
Alpine CT AI2,845682.9437062882,286021.80889907345,330446.5105237079,387810.0238463325,194007.0941267198,453808.81027744117,683219.518508008,793400.8954736021,451472.7430641106,463868.58648091275,568812.851272999,734726.4758247836,895912.6122275809,313609.64656002534,359455.4853832779,442866.67169522203,236018.94557983853,492697.6432152196,749073.8718417739,825558.9678148925,474391.02130411053,473799.01690456836,552348.0260707762,175346.33258155777
Alsey CT 1,57436.29158268721,7924.125015997455,6577.240747162607,11530.709222538215,42145.25451349699,34802.74621324943,54148.740917902505,57177.47735899078,69687.9561060938,22196.52143318834,33953.75984690491,16723.35512816686,134609.2886234658,9952.236580254601,10629.400290547557,43356.03187250478,49347.67695811416,37982.3253806271,59446.225533181896,60052.67308710033,73251.34605904936,23691.72638918834,24611.14114264925,12726.935837994846
Alsey CT 2,57436.29158268721,7924.125015997455,6577.240747162607,11530.709222538215,42145.25451349699,34802.74621324943,54148.740917902505,57177.47735899078,69687.9561060938,22196.52143318834,33953.75984690491,16723.35512816686,134609.2886234658,9952.236580254601,10629.400290547557,43356.03187250478,49347.67695811416,37982.3253806271,59446.225533181896,60052.67308710033,73251.34605904936,23691.72638918834,24611.14114264925,12726.935837994846
Alsey CT 3,33601.05818814266,4635.727314834251,3847.7806100115477,6745.631043732729,24655.581170720136,20360.108015243917,31677.79367819656,33449.64813796867,40768.45847128831,12985.284873017965,19863.438757699423,9783.403720512615,78748.37345983733,5822.20180343425,6218.352331357796,25363.903372099336,28869.102082124416,22220.20764342162,34776.898510766354,35131.679068246034,42853.09293944387,13860.001317017963,14397.872195843793,7445.440850469596
Alsey CT 4,32111.35610098362,4430.202458511545,3677.189351439609,6446.563657557385,23562.476586796576,19457.44312786855,30273.359475714933,31966.6588116548,38960.989869112964,12409.582588007319,18982.793689624075,9349.656757534221,75257.06626211053,5564.074629882976,5942.661833908431,24239.395340823994,27589.19115237506,21235.07528484626,33235.06557186537,33574.11694206762,40953.20211946852,13245.518500007323,13759.542886668452,7115.347413749274
Alsey CT 5,44194.49525238468,6097.237404240122,5060.8740043009,8872.332456535161,32428.769323065382,26779.058325468577,41664.8813402881,43995.350013978496,53621.56853120184,17079.16778864924,26125.803686235187,12867.826568358943,103575.44686589435,7657.772815354408,8178.818090997693,33360.40492783508,37970.69091589765,29225.593304401817,45741.04385406214,46207.676409959044,56363.427659268535,18229.65690464925,18937.102838868424,9792.771956036375
Alsey CT 6,74485.10435795171,10276.242816135033,8529.562928597034,14953.369308767136,54655.229196177635,45133.24436876727,70221.71012408106,74149.4663156941,90373.43010876715,28785.11425053243,44032.253403767216,21687.348148919555,174565.35988633885,12906.358677563607,13784.52487246803,56225.401563766995,63995.546487467946,49256.61792876714,77091.64694504853,77878.10630891971,94994.5409987672,30724.140850532443,31916.465458767023,16504.671836016365
